#Trial FinalX FinalY Displacement
1 -17 17 24.04
2 -12 -10 15.62
3 5 5 7.07
4 -25 3 25.18
5 -16 -30 34.00
6 -19 -13 23.02
7 36 4 36.22
8 27 -31 41.11
9 -8 14 16.12
10 15 -13 19.85
11 9 -27 28.46
12 2 -24 24.08
13 -15 -5 15.81
14 6 -38 38.47
15 -1 21 21.02
16 23 -3 23.19
17 24 -2 24.08
18 -4 -2 4.47
19 -3 9 9.49
20 -28 -56 62.61
21 35 -1 35.01
22 28 -4 28.28
23 16 -16 22.63
24 -2 42 42.05
25 27 -21 34.21
26 -6 -42 42.43
27 -9 -57 57.71
28 11 45 46.32
29 15 1 15.03
30 -52 -38 64.40
31 22 -6 22.80
32 -11 3 11.40
33 -19 -1 19.03
34 3 35 35.13
35 -1 13 13.04
36 20 4 20.40
37 -19 -3 19.24
38 39 9 40.02
39 1 -13 13.04
40 15 15 21.21
41 46 -20 50.16
42 -5 -3 5.83
43 11 -9 14.21
44 -3 9 9.49
45 -12 28 30.46
46 -24 10 26.00
47 43 11 44.38
48 41 -3 41.11
49 -34 8 34.93
50 -1 -29 29.02
51 14 40 42.38
52 12 -52 53.37
53 -6 -8 10.00
54 0 -38 38.00
55 2 -30 30.07
56 12 26 28.64
57 -51 3 51.09
58 12 -42 43.68
59 24 32 40.00
60 21 17 27.02
61 -15 13 19.85
62 -9 -27 28.46
63 43 -11 44.38
64 -42 -6 42.43
65 5 11 12.08
66 -38 0 38.00
67 33 27 42.64
68 -9 -11 14.21
69 50 -4 50.16
70 3 -53 53.08
71 -9 1 9.06
72 -20 -4 20.40
73 35 9 36.14
74 -6 0 6.00
75 -6 -18 18.97
76 -15 -5 15.81
77 -1 1 1.41
78 13 -21 24.70
79 22 -20 29.73
80 15 -29 32.65
81 -24 20 31.24
82 -16 18 24.08
83 -16 -20 25.61
84 -20 20 28.28
85 21 21 29.70
86 -11 -1 11.05
87 -4 -28 28.28
88 11 -43 44.38
89 22 32 38.83
90 23 1 23.02
91 4 -12 12.65
92 10 6 11.66
93 -21 39 44.29
94 -38 4 38.21
95 5 25 25.50
96 23 3 23.19
97 -36 4 36.22
98 -35 -5 35.36
99 4 12 12.65
100 21 -35 40.82
101 12 30 32.31
102 23 5 23.54
103 -22 -28 35.61
104 24 -28 36.88
105 -31 15 34.44
106 -23 -29 37.01
107 0 4 4.00
108 -5 -3 5.83
109 34 -16 37.58
110 -2 30 30.07
111 -2 -26 26.08
112 -1 -11 11.05
113 8 -40 40.79
114 38 -14 40.50
115 2 6 6.32
116 -17 15 22.67
117 -2 -34 34.06
118 -28 32 42.52
119 -12 -40 41.76
120 25 13 28.18
121 -12 -28 30.46
122 -28 -36 45.61
123 -45 -1 45.01
124 5 17 17.72
125 -14 30 33.11
126 -35 17 38.91
127 23 -25 33.97
128 15 15 21.21
129 52 30 60.03
130 2 34 34.06
131 -22 12 25.06
132 33 -37 49.58
133 0 -46 46.00
134 25 -15 29.15
135 10 -20 22.36
136 35 -29 45.45
137 36 0 36.00
138 -6 6 8.49
139 -8 -20 21.54
140 -8 -42 42.76
141 19 -29 34.67
142 -4 -44 44.18
143 -30 -34 45.34
144 -23 -19 29.83
145 -20 18 26.91
146 12 -26 28.64
147 -16 16 22.63
148 3 -9 9.49
149 -6 -40 40.45
150 -9 19 21.02
151 50 -22 54.63
152 11 25 27.31
153 13 1 13.04
154 13 -19 23.02
155 18 4 18.44
156 7 5 8.60
157 -30 -18 34.99
158 -7 49 49.50
159 -21 9 22.85
160 51 1 51.01
161 -57 -1 57.01
162 -3 25 25.18
163 26 0 26.00
164 4 -12 12.65
165 -16 -16 22.63
166 3 -33 33.14
167 10 28 29.73
168 8 -16 17.89
169 6 10 11.66
170 -6 12 13.42
171 3 39 39.12
172 4 12 12.65
173 -7 -5 8.60
174 20 6 20.88
175 21 -65 68.31
176 -24 4 24.33
177 45 -29 53.54
178 1 -27 27.02
179 30 -18 34.99
180 54 -14 55.79
181 -31 25 39.82
182 -1 37 37.01
183 -28 0 28.00
184 -10 6 11.66
185 -9 -61 61.66
186 6 24 24.74
187 21 -29 35.81
188 -6 -6 8.49
189 17 1 17.03
190 -48 -18 51.26
191 -16 4 16.49
192 -7 -7 9.90
193 -11 29 31.02
194 -2 32 32.06
195 11 23 25.50
196 27 -5 27.46
197 -32 16 35.78
198 16 -14 21.26
199 -29 -25 38.29
200 -21 49 53.31
201 32 -34 46.69
202 -14 42 44.27
203 -21 13 24.70
204 -41 -5 41.30
205 -15 -19 24.21
206 2 2 2.83
207 11 45 46.32
208 8 20 21.54
209 -3 7 7.62
210 -38 -38 53.74
211 -23 -31 38.60
212 -19 11 21.95
213 -12 56 57.27
214 -24 -2 24.08
215 -7 5 8.60
216 -34 14 36.77
217 2 -22 22.09
218 12 -20 23.32
219 -18 -28 33.29
220 23 17 28.60
221 -28 8 29.12
222 48 -38 61.22
223 6 2 6.32
224 -9 -21 22.85
225 -33 -1 33.02
226 25 9 26.57
227 21 5 21.59
228 42 -24 48.37
229 19 -21 28.32
230 -6 6 8.49
